cas,iarc
308076-74-6,2B
309-00-2,2A
3118-97-6,3
313-67-7,1
314-13-6,3
315-18-4,3
315-22-0,2B
3173-72-6,3
320-67-2,2A
3252-43-5,2B
3296-90-0,2B
331-39-5,2B
33229-34-4,3
333-41-5,2A
334-88-3,3
33419-42-0,1
335-67-1,2B
3351-28-8,3
3351-30-2,3
3351-31-3,3
3351-32-4,3
33543-31-6,3
3564-09-8,2B
3567-69-9,3
3570-75-0,2B
366-70-1,2A
3688-53-7,2B
3697-24-3,2B
37319-17-8,2B
3761-53-3,2B
37620-20-5,3
3771-19-5,2B
3778-73-2,3
3795-88-8,2B
3844-45-9,3
38571-73-2,3
3902-71-4,3
396-01-0,2B
4063-41-6,3
40762-15-0,3
409-21-2,2A
4170-30-3,3
420-12-2,3
42397-64-8,2B
42397-65-9,2B
4342-03-4,2B
439-14-5,3
443-48-1,2B
446-86-6,1
4548-53-2,3
4549-40-0,2B
4657-93-6,3
4680-78-8,3
480-54-6,3
480-81-9,3
484-20-8,2A
492-17-1,3
492-80-8,2B
493-52-7,3
494-03-1,1
494-38-2,3
50-00-0,1
50-06-6,2B
50-07-7,2B
50-18-0,1
50-29-3,2A
50-32-8,1
50-33-9,3
50-41-9,3
50-44-2,3
50-55-5,3
50-76-0,3
501-30-4,3
505-60-2,1
509-14-8,2B
50926-11-9,2B
51-02-5,3
51-03-6,3
51-18-3,3
51-21-8,3
51-52-5,2B
51-75-2,2A
51-79-6,2A
510-15-6,3
51264-14-3,2B
513-37-1,2B
5131-60-2,3
5141-20-8,3
51481-61-9,3
5160-02-1,3
51630-58-1,3
518-75-2,3
52-01-7,3
52-24-4,1
52-46-0,3
52-68-6,3
520-18-3,3
523-44-4,3
523-50-2,3
52645-53-1,3
52918-63-5,3
53-03-2,3
53-70-3,2A
5307-14-2,3
531-76-0,2B
531-82-8,2B
532-82-1,3
536-33-4,3
5385-75-1,3
53973-98-1,2B
54-05-7,3
54-31-9,3
54-85-3,3
540-73-8,2A
541-73-1,3
542-56-3,2B
542-75-6,2B
542-78-9,3
542-88-1,1
5431-33-4,3
545-06-2,3
545-55-1,3
5456-28-0,3
54749-90-5,2A
55-18-5,2A
55-98-1,1
551-74-6,3
5522-43-0,2A
555-84-0,2B
55557-01-2,3
55557-02-3,3
556-52-5,2A
5589-96-8,2B
56-04-2,2B
56-23-5,2B
56-25-7,3
56-38-2,2B
56-53-1,1
56-55-3,2B
56-75-7,2A
562-10-7,3
563-41-7,3
563-47-3,2B
56894-91-8,3
569-61-9,2B
57-06-7,3
57-14-7,2B
57-39-6,3
