cas,odp,gwp100_ar6,gwp100_fallback,species_key,source,notes
406-58-6,0.0,914.0,794.0,"1,1,1,3,3-pentafluorobutane",IPCC Ch.7 metrics + Montreal Protocol (openclimatedata) + AR6 7.SM.7 (openclimatedata),species_key=hfc365mfc; ODP inferred 0 (low-ODP fluorinated species)
406-78-0,,980.0,980.0,"1,1,2,2-tetrafluoro-1-(2,2,2-trifluoroethoxy)ethane",IPCC Ch.7 metrics + Montreal Protocol (openclimatedata) + AR6 7.SM.7 (openclimatedata),species_key=hfe347pcf2
406-90-6,0.0,,0.058,"2-ethenoxy-1,1,1-trifluoroethane",IPCC Ch.7 metrics + Montreal Protocol (openclimatedata) + AR6 7.SM.7 (openclimatedata),gwp100_ar6 from openclimate missing; gwp100_fallback used where applicable; ODP inferred 0 (low-ODP fluorinated species); GWP100 from fallback (Montreal/IPCC file/EPA AR5)
4170-30-3,,,0.0,Crotonaldehyde,IPCC Ch.7 metrics + Montreal Protocol (openclimatedata) + AR6 7.SM.7 (openclimatedata),gwp100_ar6 from openclimate missing; gwp100_fallback used where applicable; GWP100 from fallback (Montreal/IPCC file/EPA AR5)
420-45-1,0.0,,599.0,"2,2-difluoropropane",IPCC Ch.7 metrics + Montreal Protocol (openclimatedata) + AR6 7.SM.7 (openclimatedata),gwp100_ar6 from openclimate missing; gwp100_fallback used where applicable; ODP inferred 0 (low-ODP fluorinated species); GWP100 from fallback (Montreal/IPCC file/EPA AR5)
420-46-2,0.0,5810.0,4470.0,"1,1,1-trifluoroethane",IPCC Ch.7 metrics + Montreal Protocol (openclimatedata) + AR6 7.SM.7 (openclimatedata),species_key=hfc143a; ODP inferred 0 (low-ODP fluorinated species)
421-06-7,0.0,,177.0,"2-bromo-1,1,1-trifluoroethane",IPCC Ch.7 metrics + Montreal Protocol (openclimatedata) + AR6 7.SM.7 (openclimatedata),gwp100_ar6 from openclimate missing; gwp100_fallback used where applicable; ODP inferred 0 (low-ODP fluorinated species); GWP100 from fallback (Montreal/IPCC file/EPA AR5)
421-07-8,0.0,,74.8,"1,1,1-trifluoropropane",IPCC Ch.7 metrics + Montreal Protocol (openclimatedata) + AR6 7.SM.7 (openclimatedata),gwp100_ar6 from openclimate missing; gwp100_fallback used where applicable; ODP inferred 0 (low-ODP fluorinated species); GWP100 from fallback (Montreal/IPCC file/EPA AR5)
421-14-7,,616.0,616.0,Trifluoro(methoxy)methane,IPCC Ch.7 metrics + Montreal Protocol (openclimatedata) + AR6 7.SM.7 (openclimatedata),species_key=hfe143a
421-50-1,,,0.09,"1,1,1-trifluoropropan-2-one",IPCC Ch.7 metrics + Montreal Protocol (openclimatedata) + AR6 7.SM.7 (openclimatedata),gwp100_ar6 from openclimate missing; gwp100_fallback used where applicable; GWP100 from fallback (Montreal/IPCC file/EPA AR5)
422-05-9,,,34.3,"2,2,3,3,3-pentafluoropropan-1-ol",IPCC Ch.7 metrics + Montreal Protocol (openclimatedata) + AR6 7.SM.7 (openclimatedata),gwp100_ar6 from openclimate missing; gwp100_fallback used where applicable; GWP100 from fallback (Montreal/IPCC file/EPA AR5)
422-56-0,0.025,137.0,122.0,"3,3-dichloro-1,1,1,2,2-pentafluoropropane",IPCC Ch.7 metrics + Montreal Protocol (openclimatedata) + AR6 7.SM.7 (openclimatedata); EPA HTML,Montreal label_key=hcfc225ca; species_key=hcfc225ca
422-78-6,1.0,,,CFC-211 (C3FCl7) Heptachlorofluoropropane,EPA HTML ODS tables + AR6 merge,Row from EPA HTML
422-86-6,1.0,,,CFC-217 (C3F7Cl) Chloroheptafluoropropane,EPA HTML ODS tables + AR6 merge,Row from EPA HTML
425-87-6,,,136.0,"2-chloro-1,1,2-trifluoro-1-methoxyethane",IPCC Ch.7 metrics + Montreal Protocol (openclimatedata) + AR6 7.SM.7 (openclimatedata),gwp100_ar6 from openclimate missing; gwp100_fallback used where applicable; GWP100 from fallback (Montreal/IPCC file/EPA AR5)
425-88-7,,,328.0,"1,1,2,2-tetrafluoro-1-methoxyethane",IPCC Ch.7 metrics + Montreal Protocol (openclimatedata) + AR6 7.SM.7 (openclimatedata),gwp100_ar6 from openclimate missing; gwp100_fallback used where applicable; GWP100 from fallback (Montreal/IPCC file/EPA AR5)
42532-60-5,,,2750.0,Heptafluoroisobutyronitrile,IPCC Ch.7 metrics + Montreal Protocol (openclimatedata) + AR6 7.SM.7 (openclimatedata),gwp100_ar6 from openclimate missing; gwp100_fallback used where applicable; GWP100 from fallback (Montreal/IPCC file/EPA AR5)
4259-43-2,1.0,,,CFC-215 (C3F5Cl3) Trichloropentafluoropropane,EPA HTML ODS tables + AR6 merge,Row from EPA HTML
428454-68-6,0.0,,4390.0,"1,1,1,2,3,3-hexafluoro-3-(trifluoromethoxy)propane",IPCC Ch.7 metrics + Montreal Protocol (openclimatedata) + AR6 7.SM.7 (openclimatedata),gwp100_ar6 from openclimate missing; gwp100_fallback used where applicable; ODP inferred 0 (low-ODP fluorinated species); GWP100 from fallback (Montreal/IPCC file/EPA AR5)
430-57-9,0.0,,46.6,"1,2-dichloro-1-fluoroethane",IPCC Ch.7 metrics + Montreal Protocol (openclimatedata) + AR6 7.SM.7 (openclimatedata),gwp100_ar6 from openclimate missing; gwp100_fallback used where applicable; ODP inferred 0 (low-ODP fluorinated species); GWP100 from fallback (Montreal/IPCC file/EPA AR5)
430-66-0,0.0,364.0,353.0,"1,1,2-trifluoroethane",IPCC Ch.7 metrics + Montreal Protocol (openclimatedata) + AR6 7.SM.7 (openclimatedata),species_key=hfc143; ODP inferred 0 (low-ODP fluorinated species)
431-06-1,0.0,,122.0,"1,2-dichloro-1,2-difluoroethane",IPCC Ch.7 metrics + Montreal Protocol (openclimatedata) + AR6 7.SM.7 (openclimatedata),gwp100_ar6 from openclimate missing; gwp100_fallback used where applicable; ODP inferred 0 (low-ODP fluorinated species); GWP100 from fallback (Montreal/IPCC file/EPA AR5)
431-31-2,0.0,,325.0,"1,1,1,2,3-pentafluoropropane",IPCC Ch.7 metrics + Montreal Protocol (openclimatedata) + AR6 7.SM.7 (openclimatedata),gwp100_ar6 from openclimate missing; gwp100_fallback used where applicable; ODP inferred 0 (low-ODP fluorinated species); GWP100 from fallback (Montreal/IPCC file/EPA AR5)
431-47-0,,,82.3,"Methyl 2,2,2-trifluoroacetate",IPCC Ch.7 metrics + Montreal Protocol (openclimatedata) + AR6 7.SM.7 (openclimatedata),gwp100_ar6 from openclimate missing; gwp100_fallback used where applicable; GWP100 from fallback (Montreal/IPCC file/EPA AR5)
431-63-0,0.0,1500.0,1370.0,"1,1,1,2,3,3-hexafluoropropane",IPCC Ch.7 metrics + Montreal Protocol (openclimatedata) + AR6 7.SM.7 (openclimatedata),species_key=hfc236ea; ODP inferred 0 (low-ODP fluorinated species)
431-89-0,0.0,3600.0,3220.0,"1,1,1,2,3,3,3-heptafluoropropane",IPCC Ch.7 metrics + Montreal Protocol (openclimatedata) + AR6 7.SM.7 (openclimatedata),species_key=hfc227ea; ODP inferred 0 (low-ODP fluorinated species)
433-28-3,,,0.008,"Ethenyl 2,2,2-trifluoroacetate",IPCC Ch.7 metrics + Montreal Protocol (openclimatedata) + AR6 7.SM.7 (openclimatedata),gwp100_ar6 from openclimate missing; gwp100_fallback used where applicable; GWP100 from fallback (Montreal/IPCC file/EPA AR5)
460-16-2,,,0.004,(e)-1-chloro-2-fluoroethene,IPCC Ch.7 metrics + Montreal Protocol (openclimatedata) + AR6 7.SM.7 (openclimatedata),gwp100_ar6 from openclimate missing; gwp100_fallback used where applicable; GWP100 from fallback (Montreal/IPCC file/EPA AR5)
460-40-2,,,0.025,"3,3,3-trifluoropropanal",IPCC Ch.7 metrics + Montreal Protocol (openclimatedata) + AR6 7.SM.7 (openclimatedata),gwp100_ar6 from openclimate missing; gwp100_fallback used where applicable; GWP100 from fallback (Montreal/IPCC file/EPA AR5)
460-43-5,,,2.06,"1,1,1-trifluoro-2-methoxyethane",IPCC Ch.7 metrics + Montreal Protocol (openclimatedata) + AR6 7.SM.7 (openclimatedata),gwp100_ar6 from openclimate missing; gwp100_fallback used where applicable; GWP100 from fallback (Montreal/IPCC file/EPA AR5)
460-73-1,0.0,962.0,1030.0,"1,1,1,3,3-pentafluoropropane",IPCC Ch.7 metrics + Montreal Protocol (openclimatedata) + AR6 7.SM.7 (openclimatedata),species_key=hfc245fa; ODP inferred 0 (low-ODP fluorinated species)
461-18-7,,,0.049,"4,4,4-trifluorobutan-1-ol",IPCC Ch.7 metrics + Montreal Protocol (openclimatedata) + AR6 7.SM.7 (openclimatedata),gwp100_ar6 from openclimate missing; gwp100_fallback used where applicable; GWP100 from fallback (Montreal/IPCC file/EPA AR5)
471-43-2,0.0,,70.4,"1,1-dichloro-2,2-difluoroethane",IPCC Ch.7 metrics + Montreal Protocol (openclimatedata) + AR6 7.SM.7 (openclimatedata),gwp100_ar6 from openclimate missing; gwp100_fallback used where applicable; ODP inferred 0 (low-ODP fluorinated species); GWP100 from fallback (Montreal/IPCC file/EPA AR5)
485399-46-0,,,229.0,"1,1,2,2-Tetrafluoro-1-methoxyethane",IPCC Ch.7 metrics + Montreal Protocol (openclimatedata) + AR6 7.SM.7 (openclimatedata),gwp100_ar6 from openclimate missing; gwp100_fallback used where applicable; GWP100 from fallback (Montreal/IPCC file/EPA AR5)
485399-48-2,,,219.0,"1,1,2,2-tetrafluoro-1-methoxy-2-[1,1,2,2-tetrafluoro-2-(1,1,2,2-tetrafluoro-2-methoxyethoxy)ethoxy]ethane",IPCC Ch.7 metrics + Montreal Protocol (openclimatedata) + AR6 7.SM.7 (openclimatedata),gwp100_ar6 from openclimate missing; gwp100_fallback used where applicable; GWP100 from fallback (Montreal/IPCC file/EPA AR5)
507-55-1,0.033,568.0,595.0,"1,3-dichloro-1,1,2,2,3-pentafluoropropane",IPCC Ch.7 metrics + Montreal Protocol (openclimatedata) + AR6 7.SM.7 (openclimatedata); EPA HTML,Montreal label_key=hcfc225cb; species_key=hcfc225cb
50807-77-7,0.0,831.0,831.0,"1-(2,2-difluoroethoxy)-1,1,2,2-tetrafluoroethane",IPCC Ch.7 metrics + Montreal Protocol (openclimatedata) + AR6 7.SM.7 (openclimatedata),species_key=hfe356pcf2; ODP inferred 0 (low-ODP fluorinated species)
512-51-6,0.0,12.5,12.5,"1-ethoxy-1,1,2,2-tetrafluoroethane",IPCC Ch.7 metrics + Montreal Protocol (openclimatedata) + AR6 7.SM.7 (openclimatedata),species_key=hfe374pc2; ODP inferred 0 (low-ODP fluorinated species)
540-67-0,,,0.01,Ethyl methyl ether,IPCC Ch.7 metrics + Montreal Protocol (openclimatedata) + AR6 7.SM.7 (openclimatedata),gwp100_ar6 from openclimate missing; gwp100_fallback used where applicable; GWP100 from fallback (Montreal/IPCC file/EPA AR5)
540-97-6,,,0.142,Dodecamethylcyclohexasiloxane,IPCC Ch.7 metrics + Montreal Protocol (openclimatedata) + AR6 7.SM.7 (openclimatedata),gwp100_ar6 from openclimate missing; gwp100_fallback used where applicable; GWP100 from fallback (Montreal/IPCC file/EPA AR5)
541-02-6,,,0.289,Decamethylcyclopentasiloxane,IPCC Ch.7 metrics + Montreal Protocol (openclimatedata) + AR6 7.SM.7 (openclimatedata),gwp100_ar6 from openclimate missing; gwp100_fallback used where applicable; GWP100 from fallback (Montreal/IPCC file/EPA AR5)
541-05-9,,,1.15,Hexamethylcyclotrisiloxane,IPCC Ch.7 metrics + Montreal Protocol (openclimatedata) + AR6 7.SM.7 (openclimatedata),gwp100_ar6 from openclimate missing; gwp100_fallback used where applicable; GWP100 from fallback (Montreal/IPCC file/EPA AR5)
5528-43-8,,,0.344,"(z)-1,2,3,3,3-pentafluoroprop-1-ene",IPCC Ch.7 metrics + Montreal Protocol (openclimatedata) + AR6 7.SM.7 (openclimatedata),gwp100_ar6 from openclimate missing; gwp100_fallback used where applicable; GWP100 from fallback (Montreal/IPCC file/EPA AR5)
556-67-2,,,0.739,Octamethylcyclotetrasiloxane,IPCC Ch.7 metrics + Montreal Protocol (openclimatedata) + AR6 7.SM.7 (openclimatedata),gwp100_ar6 from openclimate missing; gwp100_fallback used where applicable; GWP100 from fallback (Montreal/IPCC file/EPA AR5)
557-31-3,,,0.0,Allyl ethyl ether,IPCC Ch.7 metrics + Montreal Protocol (openclimatedata) + AR6 7.SM.7 (openclimatedata),gwp100_ar6 from openclimate missing; gwp100_fallback used where applicable; GWP100 from fallback (Montreal/IPCC file/EPA AR5)
557-40-4,,,0.0,Allyl ether,IPCC Ch.7 metrics + Montreal Protocol (openclimatedata) + AR6 7.SM.7 (openclimatedata),gwp100_ar6 from openclimate missing; gwp100_fallback used where applicable; GWP100 from fallback (Montreal/IPCC file/EPA AR5)
559-40-0,,,78.1,Octafluorocyclopentene,IPCC Ch.7 metrics + Montreal Protocol (openclimatedata) + AR6 7.SM.7 (openclimatedata),gwp100_ar6 from openclimate missing; gwp100_fallback used where applicable; GWP100 from fallback (Montreal/IPCC file/EPA AR5)
5595-10-8,,,0.118,"(e)-1,2,3,3,3-pentafluoroprop-1-ene",IPCC Ch.7 metrics + Montreal Protocol (openclimatedata) + AR6 7.SM.7 (openclimatedata),gwp100_ar6 from openclimate missing; gwp100_fallback used where applicable; GWP100 from fallback (Montreal/IPCC file/EPA AR5)
56-23-5,1.1,2200.0,2200.0,Tetrachloromethane,IPCC Ch.7 metrics + Montreal Protocol (openclimatedata) + AR6 7.SM.7 (openclimatedata); EPA HTML,Montreal label_key=carbontetrachloride; species_key=ccl4
565-69-5,,,0.2,2-methylpentan-3-one,IPCC Ch.7 metrics + Montreal Protocol (openclimatedata) + AR6 7.SM.7 (openclimatedata),gwp100_ar6 from openclimate missing; gwp100_fallback used where applicable; GWP100 from fallback (Montreal/IPCC file/EPA AR5)
57041-67-5,0.0,2590.0,2590.0,"2-(difluoromethoxy)-1,1,1,2-tetrafluoroethane",IPCC Ch.7 metrics + Montreal Protocol (openclimatedata) + AR6 7.SM.7 (openclimatedata),species_key=hfe236ea2; ODP inferred 0 (low-ODP fluorinated species)
593-53-3,,135.0,92.0,Fluoromethane,IPCC Ch.7 metrics + Montreal Protocol (openclimatedata) + AR6 7.SM.7 (openclimatedata),species_key=hfc41
593-70-4,0.02,79.4,79.4,Chlorofluoromethane,IPCC Ch.7 metrics + Montreal Protocol (openclimatedata) + AR6 7.SM.7 (openclimatedata); EPA HTML,Montreal label_key=hcfc31; gwp100_ar6 from openclimate missing; gwp100_fallback used where applicable
598-88-9,,,0.126,"(e)-1,2-dichloro-1,2-difluoroethene",IPCC Ch.7 metrics + Montreal Protocol (openclimatedata) + AR6 7.SM.7 (openclimatedata),gwp100_ar6 from openclimate missing; gwp100_fallback used where applicable; GWP100 from fallback (Montreal/IPCC file/EPA AR5)
60433-11-6,,,7800.0,"1,1,2,2,3,3,4,4,4a,5,5,6,6,7,7,8,8,8a-octadecafluoronaphthalene",IPCC Ch.7 metrics + Montreal Protocol (openclimatedata) + AR6 7.SM.7 (openclimatedata),gwp100_ar6 from openclimate missing; gwp100_fallback used where applicable; GWP100 from fallback (Montreal/IPCC file/EPA AR5)
60433-12-7,,,7120.0,"1,1,2,2,3,3,4,4,4a,5,5,6,6,7,7,8,8,8a-octadecafluoronaphthalene",IPCC Ch.7 metrics + Montreal Protocol (openclimatedata) + AR6 7.SM.7 (openclimatedata),gwp100_ar6 from openclimate missing; gwp100_fallback used where applicable; GWP100 from fallback (Montreal/IPCC file/EPA AR5)
60598-17-6,,,1.68,"1,1,2,2-tetrafluoro-3-methoxypropane",IPCC Ch.7 metrics + Montreal Protocol (openclimatedata) + AR6 7.SM.7 (openclimatedata),gwp100_ar6 from openclimate missing; gwp100_fallback used where applicable; GWP100 from fallback (Montreal/IPCC file/EPA AR5)
624-72-6,0.0,21.5,53.0,"1,2-difluoroethane",IPCC Ch.7 metrics + Montreal Protocol (openclimatedata) + AR6 7.SM.7 (openclimatedata),species_key=hfc152; ODP inferred 0 (low-ODP fluorinated species)
661-97-2,1.0,,,CFC-216 (C3F6Cl2) Dichlorohexafluoropropane,EPA HTML ODS tables + AR6 merge,Row from EPA HTML
66711-86-2,0.0,,17.9,"(e)-1,1,1,4,4,4-hexafluorobut-2-ene",IPCC Ch.7 metrics + Montreal Protocol (openclimatedata) + AR6 7.SM.7 (openclimatedata),gwp100_ar6 from openclimate missing; gwp100_fallback used where applicable; ODP inferred 0 (low-ODP fluorinated species); GWP100 from fallback (Montreal/IPCC file/EPA AR5)
67-66-3,,20.6,20.6,Trichloromethane,IPCC Ch.7 metrics + Montreal Protocol (openclimatedata) + AR6 7.SM.7 (openclimatedata),species_key=chcl3
677-21-4,,,0.261,"3,3,3-trifluoroprop-1-ene",IPCC Ch.7 metrics + Montreal Protocol (openclimatedata) + AR6 7.SM.7 (openclimatedata),gwp100_ar6 from openclimate missing; gwp100_fallback used where applicable; GWP100 from fallback (Montreal/IPCC file/EPA AR5)
677-56-5,0.0,1350.0,1340.0,"1,1,1,2,2,3-hexafluoropropane",IPCC Ch.7 metrics + Montreal Protocol (openclimatedata) + AR6 7.SM.7 (openclimatedata),species_key=hfc236cb; ODP inferred 0 (low-ODP fluorinated species)
678-26-2,,,9220.0,Dodecafluoropentane,IPCC Ch.7 metrics + Montreal Protocol (openclimatedata) + AR6 7.SM.7 (openclimatedata),gwp100_ar6 from openclimate missing; gwp100_fallback used where applicable; GWP100 from fallback (Montreal/IPCC file/EPA AR5)
679-86-7,0.0,787.0,693.0,"1,1,2,2,3-pentafluoropropane",IPCC Ch.7 metrics + Montreal Protocol (openclimatedata) + AR6 7.SM.7 (openclimatedata),species_key=hfc245ca; ODP inferred 0 (low-ODP fluorinated species)
685-63-2,0.0,,0.004,"1,1,2,3,4,4-hexafluorobuta-1,3-diene",IPCC Ch.7 metrics + Montreal Protocol (openclimatedata) + AR6 7.SM.7 (openclimatedata),gwp100_ar6 from openclimate missing; gwp100_fallback used where applicable; ODP inferred 0 (low-ODP fluorinated species); GWP100 from fallback (Montreal/IPCC file/EPA AR5)
690-22-2,,,29.2,Trifluoromethoxyethane,IPCC Ch.7 metrics + Montreal Protocol (openclimatedata) + AR6 7.SM.7 (openclimatedata),gwp100_ar6 from openclimate missing; gwp100_fallback used where applicable; GWP100 from fallback (Montreal/IPCC file/EPA AR5)
690-39-1,0.0,8690.0,9810.0,"1,1,1,3,3,3-hexafluoropropane",IPCC Ch.7 metrics + Montreal Protocol (openclimatedata) + AR6 7.SM.7 (openclimatedata),species_key=hfc236fa; ODP inferred 0 (low-ODP fluorinated species)
692-49-9,0.0,,2.08,"(z)-1,1,1,4,4,4-hexafluorobut-2-ene",IPCC Ch.7 metrics + Montreal Protocol (openclimatedata) + AR6 7.SM.7 (openclimatedata),gwp100_ar6 from openclimate missing; gwp100_fallback used where applicable; ODP inferred 0 (low-ODP fluorinated species); GWP100 from fallback (Montreal/IPCC file/EPA AR5)
697-11-0,0.0,,126.0,Hexafluorocyclobutene,IPCC Ch.7 metrics + Montreal Protocol (openclimatedata) + AR6 7.SM.7 (openclimatedata),gwp100_ar6 from openclimate missing; gwp100_fallback used where applicable; ODP inferred 0 (low-ODP fluorinated species); GWP100 from fallback (Montreal/IPCC file/EPA AR5)
71-55-6,0.1,161.0,161.0,"1,1,1-trichloroethane",IPCC Ch.7 metrics + Montreal Protocol (openclimatedata) + AR6 7.SM.7 (openclimatedata); EPA HTML,species_key=ch3ccl3; EPA ODP
73287-23-7,,,202.0,"1,1,2,2-tetrafluoro-1,2-dimethoxyethane",IPCC Ch.7 metrics + Montreal Protocol (openclimatedata) + AR6 7.SM.7 (openclimatedata),gwp100_ar6 from openclimate missing; gwp100_fallback used where applicable; GWP100 from fallback (Montreal/IPCC file/EPA AR5)
74-82-8,0.0,27.9,27.9,Methane,IPCC Ch.7 metrics + Montreal Protocol (openclimatedata) + AR6 7.SM.7 (openclimatedata),species_key=ch4; ODP inferred 0 (CH4/N2O)
74-83-9,0.6,2.43,2.43,Bromomethane,IPCC Ch.7 metrics + Montreal Protocol (openclimatedata) + AR6 7.SM.7 (openclimatedata); EPA HTML,Montreal label_key=methylbromide; species_key=ch3br
74-84-0,,,0.437,Ethane,IPCC Ch.7 metrics + Montreal Protocol (openclimatedata) + AR6 7.SM.7 (openclimatedata),gwp100_ar6 from openclimate missing; gwp100_fallback used where applicable; GWP100 from fallback (Montreal/IPCC file/EPA AR5)
74-87-3,,5.54,5.54,Chloromethane,IPCC Ch.7 metrics + Montreal Protocol (openclimatedata) + AR6 7.SM.7 (openclimatedata),species_key=ch3cl
74-95-3,,,1.51,Dibromomethane,IPCC Ch.7 metrics + Montreal Protocol (openclimatedata) + AR6 7.SM.7 (openclimatedata),gwp100_ar6 from openclimate missing; gwp100_fallback used where applicable; GWP100 from fallback (Montreal/IPCC file/EPA AR5)
74-96-4,,,0.487,Bromoethane,IPCC Ch.7 metrics + Montreal Protocol (openclimatedata) + AR6 7.SM.7 (openclimatedata),gwp100_ar6 from openclimate missing; gwp100_fallback used where applicable; GWP100 from fallback (Montreal/IPCC file/EPA AR5)
74-97-5,0.12,,4.74,Bromochloromethane,IPCC Ch.7 metrics + Montreal Protocol (openclimatedata) + AR6 7.SM.7 (openclimatedata),Montreal label_key=ch2brcl; gwp100_ar6 from openclimate missing; gwp100_fallback used where applicable; GWP100 from fallback (Montreal/IPCC file/EPA AR5)
74-98-6,,,0.02,Propane,IPCC Ch.7 metrics + Montreal Protocol (openclimatedata) + AR6 7.SM.7 (openclimatedata),gwp100_ar6 from openclimate missing; gwp100_fallback used where applicable; GWP100 from fallback (Montreal/IPCC file/EPA AR5)
75-00-3,,,0.481,Chloroethane,IPCC Ch.7 metrics + Montreal Protocol (openclimatedata) + AR6 7.SM.7 (openclimatedata),gwp100_ar6 from openclimate missing; gwp100_fallback used where applicable; GWP100 from fallback (Montreal/IPCC file/EPA AR5)
75-02-5,,,0.024,Fluoroethene,IPCC Ch.7 metrics + Montreal Protocol (openclimatedata) + AR6 7.SM.7 (openclimatedata),gwp100_ar6 from openclimate missing; gwp100_fallback used where applicable; GWP100 from fallback (Montreal/IPCC file/EPA AR5)
75-09-2,,11.2,11.2,Dichloromethane,IPCC Ch.7 metrics + Montreal Protocol (openclimatedata) + AR6 7.SM.7 (openclimatedata),species_key=ch2cl2
75-10-5,,771.0,675.0,Difluoromethane,IPCC Ch.7 metrics + Montreal Protocol (openclimatedata) + AR6 7.SM.7 (openclimatedata),species_key=hfc32
75-25-2,,,0.25,Tribromomethane,IPCC Ch.7 metrics + Montreal Protocol (openclimatedata) + AR6 7.SM.7 (openclimatedata),gwp100_ar6 from openclimate missing; gwp100_fallback used where applicable; GWP100 from fallback (Montreal/IPCC file/EPA AR5)
75-26-3,,,0.126,2-bromopropane,IPCC Ch.7 metrics + Montreal Protocol (openclimatedata) + AR6 7.SM.7 (openclimatedata),gwp100_ar6 from openclimate missing; gwp100_fallback used where applicable; GWP100 from fallback (Montreal/IPCC file/EPA AR5)
75-29-6,,,0.181,2-chloropropane,IPCC Ch.7 metrics + Montreal Protocol (openclimatedata) + AR6 7.SM.7 (openclimatedata),gwp100_ar6 from openclimate missing; gwp100_fallback used where applicable; GWP100 from fallback (Montreal/IPCC file/EPA AR5)
75-37-6,0.0,164.0,124.0,"1,1-difluoroethane",IPCC Ch.7 metrics + Montreal Protocol (openclimatedata) + AR6 7.SM.7 (openclimatedata),species_key=hfc152a; ODP inferred 0 (low-ODP fluorinated species)
75-38-7,,,0.052,"1,1-difluoroethene",IPCC Ch.7 metrics + Montreal Protocol (openclimatedata) + AR6 7.SM.7 (openclimatedata),gwp100_ar6 from openclimate missing; gwp100_fallback used where applicable; GWP100 from fallback (Montreal/IPCC file/EPA AR5)
75-43-4,0.04,160.0,151.0,Dichlorofluoromethane,IPCC Ch.7 metrics + Montreal Protocol (openclimatedata) + AR6 7.SM.7 (openclimatedata); EPA HTML,Montreal label_key=hcfc21; species_key=hcfc21
75-45-6,0.055,1960.0,1810.0,Chlorodifluoromethane,IPCC Ch.7 metrics + Montreal Protocol (openclimatedata) + AR6 7.SM.7 (openclimatedata); EPA HTML,Montreal label_key=hcfc22; species_key=hcfc22
75-46-7,,14600.0,14800.0,Trifluoromethane,IPCC Ch.7 metrics + Montreal Protocol (openclimatedata) + AR6 7.SM.7 (openclimatedata),species_key=hfc23
75-61-6,,216.0,216.0,Dibromodifluoromethane,IPCC Ch.7 metrics + Montreal Protocol (openclimatedata) + AR6 7.SM.7 (openclimatedata),species_key=halon1202
75-63-8,10.0,7200.0,7200.0,Bromotrifluoromethane,IPCC Ch.7 metrics + Montreal Protocol (openclimatedata) + AR6 7.SM.7 (openclimatedata); EPA HTML,Montreal label_key=halon1301; species_key=halon1301
75-68-3,0.065,2300.0,2310.0,"1-chloro-1,1-difluoroethane",IPCC Ch.7 metrics + Montreal Protocol (openclimatedata) + AR6 7.SM.7 (openclimatedata); EPA HTML,Montreal label_key=hcfc142b; species_key=hcfc142b
75-69-4,1.0,6230.0,4750.0,Trichlorofluoromethane,IPCC Ch.7 metrics + Montreal Protocol (openclimatedata) + AR6 7.SM.7 (openclimatedata); EPA HTML,Montreal label_key=cfc11; species_key=cfc11
75-71-8,1.0,12500.0,10900.0,Dichlorodifluoromethane,IPCC Ch.7 metrics + Montreal Protocol (openclimatedata) + AR6 7.SM.7 (openclimatedata); EPA HTML,Montreal label_key=cfc12; species_key=cfc12
75-72-9,1.0,16200.0,16200.0,Chlorotrifluoromethane,IPCC Ch.7 metrics + Montreal Protocol (openclimatedata) + AR6 7.SM.7 (openclimatedata); EPA HTML,Montreal label_key=cfc13; species_key=cfc13
75-73-0,0.0,7380.0,7380.0,Tetrafluoromethane,IPCC Ch.7 metrics + Montreal Protocol (openclimatedata) + AR6 7.SM.7 (openclimatedata),species_key=cf4; ODP inferred 0 (low-ODP fluorinated species)
75-88-7,0.0,388.0,388.0,"2-chloro-1,1,1-trifluoroethane",IPCC Ch.7 metrics + Montreal Protocol (openclimatedata) + AR6 7.SM.7 (openclimatedata); EPA HTML,gwp100_ar6 from openclimate missing; gwp100_fallback used where applicable; ODP inferred 0 (low-ODP fluorinated species)
75-89-8,,,35.7,"2,2,2-trifluoroethanol",IPCC Ch.7 metrics + Montreal Protocol (openclimatedata) + AR6 7.SM.7 (openclimatedata),gwp100_ar6 from openclimate missing; gwp100_fallback used where applicable; GWP100 from fallback (Montreal/IPCC file/EPA AR5)
754-12-1,,,0.501,"2,3,3,3-tetrafluoroprop-1-ene",IPCC Ch.7 metrics + Montreal Protocol (openclimatedata) + AR6 7.SM.7 (openclimatedata),gwp100_ar6 from openclimate missing; gwp100_fallback used where applicable; GWP100 from fallback (Montreal/IPCC file/EPA AR5)
755-02-2,,,0.449,"3,3,4,4,5,5,6,6,7,7,8,8,9,9,9-pentadecafluorononan-1-ol",IPCC Ch.7 metrics + Montreal Protocol (openclimatedata) + AR6 7.SM.7 (openclimatedata),gwp100_ar6 from openclimate missing; gwp100_fallback used where applicable; GWP100 from fallback (Montreal/IPCC file/EPA AR5)
756-13-8,,,0.114,"1,1,1,2,2,4,5,5,5-nonafluoro-4-(trifluoromethyl)pentan-3-one",IPCC Ch.7 metrics + Montreal Protocol (openclimatedata) + AR6 7.SM.7 (openclimatedata),gwp100_ar6 from openclimate missing; gwp100_fallback used where applicable; GWP100 from fallback (Montreal/IPCC file/EPA AR5)
76-11-9,0.0,,3550.0,"1,1,1,2-tetrachloro-2,2-difluoroethane",IPCC Ch.7 metrics + Montreal Protocol (openclimatedata) + AR6 7.SM.7 (openclimatedata),gwp100_ar6 from openclimate missing; gwp100_fallback used where applicable; ODP inferred 0 (low-ODP fluorinated species); GWP100 from fallback (Montreal/IPCC file/EPA AR5)
