cas,odp,gwp100_ar6,gwp100_fallback,species_key,source,notes
24270-66-4,0.0,,255.0,"1,1,2,3,3-pentafluoropropane",IPCC Ch.7 metrics + Montreal Protocol (openclimatedata) + AR6 7.SM.7 (openclimatedata),gwp100_ar6 from openclimate missing; gwp100_fallback used where applicable; ODP inferred 0 (low-ODP fluorinated species); GWP100 from fallback (Montreal/IPCC file/EPA AR5)
25291-17-2,,,0.162,"3,3,4,4,5,5,6,6,7,7,8,8,8-tridecafluorooct-1-ene",IPCC Ch.7 metrics + Montreal Protocol (openclimatedata) + AR6 7.SM.7 (openclimatedata),gwp100_ar6 from openclimate missing; gwp100_fallback used where applicable; GWP100 from fallback (Montreal/IPCC file/EPA AR5)
2551-62-4,0.0,25200.0,25200.0,Sulfur hexafluoride,IPCC Ch.7 metrics + Montreal Protocol (openclimatedata) + AR6 7.SM.7 (openclimatedata),species_key=sf6; ODP inferred 0 (low-ODP fluorinated species)
26103-08-2,0.0,,3040.0,"2-(difluoromethoxy)-1,1,1,3,3,3-hexafluoropropane",IPCC Ch.7 metrics + Montreal Protocol (openclimatedata) + AR6 7.SM.7 (openclimatedata),gwp100_ar6 from openclimate missing; gwp100_fallback used where applicable; ODP inferred 0 (low-ODP fluorinated species); GWP100 from fallback (Montreal/IPCC file/EPA AR5)
26675-46-7,0.0,539.0,539.0,"2-chloro-2-(difluoromethoxy)-1,1,1-trifluoroethane",IPCC Ch.7 metrics + Montreal Protocol (openclimatedata) + AR6 7.SM.7 (openclimatedata),species_key=hcfe235da2; ODP inferred 0 (low-ODP fluorinated species)
2699-79-8,,4630.0,4630.0,Sulfuryl fluoride,IPCC Ch.7 metrics + Montreal Protocol (openclimatedata) + AR6 7.SM.7 (openclimatedata),species_key=so2f2
2714-38-7,,,25.6,"3,3,4,4-tetrafluorocyclobutene",IPCC Ch.7 metrics + Montreal Protocol (openclimatedata) + AR6 7.SM.7 (openclimatedata),gwp100_ar6 from openclimate missing; gwp100_fallback used where applicable; GWP100 from fallback (Montreal/IPCC file/EPA AR5)
2837-89-0,0.022,597.0,597.0,"2-chloro-1,1,1,2-tetrafluoroethane",IPCC Ch.7 metrics + Montreal Protocol (openclimatedata) + AR6 7.SM.7 (openclimatedata); EPA HTML,Montreal label_key=hcfc124; species_key=hcfc124
28523-86-6,0.0,,195.0,"1,1,1,3,3,3-hexafluoro-2-(fluoromethoxy)propane",IPCC Ch.7 metrics + Montreal Protocol (openclimatedata) + AR6 7.SM.7 (openclimatedata),gwp100_ar6 from openclimate missing; gwp100_fallback used where applicable; ODP inferred 0 (low-ODP fluorinated species); GWP100 from fallback (Montreal/IPCC file/EPA AR5)
29118-24-9,,,1.37,"(e)-1,3,3,3-tetrafluoroprop-1-ene",IPCC Ch.7 metrics + Montreal Protocol (openclimatedata) + AR6 7.SM.7 (openclimatedata),gwp100_ar6 from openclimate missing; gwp100_fallback used where applicable; GWP100 from fallback (Montreal/IPCC file/EPA AR5)
29118-25-0,,,0.315,"(z)-1,3,3,3-tetrafluoroprop-1-ene",IPCC Ch.7 metrics + Montreal Protocol (openclimatedata) + AR6 7.SM.7 (openclimatedata),gwp100_ar6 from openclimate missing; gwp100_fallback used where applicable; GWP100 from fallback (Montreal/IPCC file/EPA AR5)
29255-31-0,1.0,,,CFC-214 (C3F4Cl4) Tetrachlorotetrafluoropropane,EPA HTML ODS tables + AR6 merge,Row from EPA HTML
297730-93-9,,,13.0,"4-ethoxy-1,1,1,2,2,3,3,4,5,6,6,6-dodecafluoro-5-(trifluoromethyl)hexane",IPCC Ch.7 metrics + Montreal Protocol (openclimatedata) + AR6 7.SM.7 (openclimatedata),gwp100_ar6 from openclimate missing; gwp100_fallback used where applicable; GWP100 from fallback (Montreal/IPCC file/EPA AR5)
306-83-2,0.02,90.4,90.4,"2,2-dichloro-1,1,1-trifluoroethane",IPCC Ch.7 metrics + Montreal Protocol (openclimatedata) + AR6 7.SM.7 (openclimatedata); EPA HTML,Montreal label_key=hcfc123; species_key=hcfc123
306-94-5,,7480.0,7480.0,"1,1,2,2,3,3,4,4,4a,5,5,6,6,7,7,8,8,8a-octadecafluoronaphthalene",IPCC Ch.7 metrics + Montreal Protocol (openclimatedata) + AR6 7.SM.7 (openclimatedata),species_key=c10f18
307-34-6,,,8260.0,Octadecafluorooctane,IPCC Ch.7 metrics + Montreal Protocol (openclimatedata) + AR6 7.SM.7 (openclimatedata),gwp100_ar6 from openclimate missing; gwp100_fallback used where applicable; GWP100 from fallback (Montreal/IPCC file/EPA AR5)
311-89-7,,,8490.0,Heptacosafluorotributylamine,IPCC Ch.7 metrics + Montreal Protocol (openclimatedata) + AR6 7.SM.7 (openclimatedata),gwp100_ar6 from openclimate missing; gwp100_fallback used where applicable; GWP100 from fallback (Montreal/IPCC file/EPA AR5)
313064-40-3,0.0,,597.0,Perfluoroethyl formate,IPCC Ch.7 metrics + Montreal Protocol (openclimatedata) + AR6 7.SM.7 (openclimatedata),gwp100_ar6 from openclimate missing; gwp100_fallback used where applicable; ODP inferred 0 (low-ODP fluorinated species); GWP100 from fallback (Montreal/IPCC file/EPA AR5)
3182-26-1,1.0,,,CFC-212 (C3F2Cl6) Hexachlorodifluoropropane,EPA HTML ODS tables + AR6 merge,Row from EPA HTML
32042-38-9,,,54.8,"2,2,2-trifluoroethyl formate",IPCC Ch.7 metrics + Montreal Protocol (openclimatedata) + AR6 7.SM.7 (openclimatedata),gwp100_ar6 from openclimate missing; gwp100_fallback used where applicable; GWP100 from fallback (Montreal/IPCC file/EPA AR5)
333-36-8,,,24.4,"1,1,1-trifluoro-2-(2,2,2-trifluoroethoxy)ethane",IPCC Ch.7 metrics + Montreal Protocol (openclimatedata) + AR6 7.SM.7 (openclimatedata),gwp100_ar6 from openclimate missing; gwp100_fallback used where applicable; GWP100 from fallback (Montreal/IPCC file/EPA AR5)
3330-15-2,,,6630.0,"1,1,1,2,2,3,3-heptafluoro-3-(1,2,2,2-tetrafluoroethoxy)propane",IPCC Ch.7 metrics + Montreal Protocol (openclimatedata) + AR6 7.SM.7 (openclimatedata),gwp100_ar6 from openclimate missing; gwp100_fallback used where applicable; GWP100 from fallback (Montreal/IPCC file/EPA AR5)
