"Category","Sub Category","Units","1-Acetylpiperidine","4-Acetylmorpholine","Hexahydro-1H-azepine-1-carbaldehyde","N-Formylpiperidine","Butanedial","Tetramethylene sulfoxide","1,2-Cyclohexanedione","2-Methoxy-1,3-dioxolane","2-Methylpyrazine","3-Methoxypropionitrile","Acetone","Caprolactone","Cyclobutanone","Cycloheptanone","Cyclopentanone","Cyrene","Diisopropyl methylphosphonate","Butyl sulfoxide","Dimethyl sulfoxide","Ethyl cyanoacetate","1,3-Dioxolan-2-one, 4-[(acetyloxy)methyl]-","Methyl acetoacetate","Methyl cyanoacetate","N,N-Diethyl Acetamide","N,N-Diethylformamide","1-Butylpyrrolidin-2-one","Triethyl phosphate","γ-Butyrolactone","Î³-Valerolactone","N-methyl-2-pyrrolidone","β-Methyl-δ-valerolactone","3,4-(Methylenedioxy)benzaldehyde","Octadecylamine","PFOS - Heptadecafluorooctanesulfonic acid solution"
"Acute Human Effects","Inhalation Toxicity","Vapor GHS Category Level","","","","","","","","","","","","","","4","","","","","","","","","","4","","","2","","","","","","",""
"Acute Human Effects","Inhalation Toxicity","Memo for Vapor GHS Category Level","","","","","","","","","","","","","","","","","","","","","","","","SDS","","","SciFinder","","","","","","",""
"Acute Human Effects","Inhalation Toxicity","mg/l gas/vapor","","","","","","","","","","","76.00","","","","19500.00","","","","","","","","","","","","","","","","","","","11.1"
"Acute Human Effects","Inhalation Toxicity","Memo for mg/l gas/vapor","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SDS"
"Acute Human Effects","Inhalation Toxicity","mg/l dust/mist/fume","","","","","","","","","","","","","","10","","5.16","","","","7380","","29","","11","","5.1","8.817","5100.00","","","","","",""
"Acute Human Effects","Inhalation Toxicity","Memo for mg/l dust/mist/fume","","","","","","","","","","","","","","","","OECD Test Guideline 436","","","","","","ToxValDB","","SDS","","SDS","SDS 4 hour, rat, OECD SIDS","","","","","","",""
"Acute Human Effects","Inhalation Toxicity","Key Phrases","","","6","","","","4","4","4","","4","2","","4","2","2","4","4","6","4","4","2","4","6","4","4","4","2","2","4","","","8","6"
"Acute Human Effects","Inhalation Toxicity","Memo for Key Phrases","","","","","","","","","","","","","","","","","","","","","","","","SDS","","","","","","","","","SDS","SDS  extremely destructive to tissue of the mucous membranes and upper respiratory tract"
"Acute Human Effects","Inhalation Toxicity","Solid GHS Category Level","","","4","","","","4","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Acute Human Effects","Inhalation Toxicity","Memo for Solid GHS Category Level","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Acute Human Effects","Inhalation Toxicity","GHS H Phrases","","","6","","","","","","","","","","","","","2","","","","","","","","6","","","4","","","","","","8","6"
"Acute Human Effects","Inhalation Toxicity","Memo for GHS H Phrases","","","","","","","","","","","","","","","","","","","","","","","","SDS","","","SciFinder","","","","","","SDS Aspiration hazard",""
