cas,name,list,cas_raw,source
106-89-8,"Epichlorohydrin (l-Chloro-2,3-epoxypropane)",CAA112(b),106898,USCODE-2023-title42-sec7412
106-88-7,"1,2-Epoxybutane",CAA112(b),106887,USCODE-2023-title42-sec7412
140-88-5,Ethyl acrylate,CAA112(b),140885,USCODE-2023-title42-sec7412
100-41-4,Ethyl benzene,CAA112(b),100414,USCODE-2023-title42-sec7412
51-79-6,Ethyl carbamate (Urethane),CAA112(b),51796,USCODE-2023-title42-sec7412
75-00-3,Ethyl chloride (Chloroethane),CAA112(b),75003,USCODE-2023-title42-sec7412
106-93-4,Ethylene dibromide (Dibromoethane),CAA112(b),106934,USCODE-2023-title42-sec7412
107-06-2,"Ethylene dichloride (1,2-Dichloroethane)",CAA112(b),107062,USCODE-2023-title42-sec7412
107-21-1,Ethylene glycol,CAA112(b),107211,USCODE-2023-title42-sec7412
151-56-4,Ethylene imine (Aziridine),CAA112(b),151564,USCODE-2023-title42-sec7412
75-21-8,Ethylene oxide,CAA112(b),75218,USCODE-2023-title42-sec7412
96-45-7,Ethylene thiourea,CAA112(b),96457,USCODE-2023-title42-sec7412
75-34-3,"Ethylidene dichloride (1,1-Dichloroethane)",CAA112(b),75343,USCODE-2023-title42-sec7412
50-00-0,Formaldehyde,CAA112(b),50000,USCODE-2023-title42-sec7412
76-44-8,Heptachlor,CAA112(b),76448,USCODE-2023-title42-sec7412
118-74-1,Hexachlorobenzene,CAA112(b),118741,USCODE-2023-title42-sec7412
87-68-3,Hexachlorobutadiene,CAA112(b),87683,USCODE-2023-title42-sec7412
77-47-4,Hexachlorocyclopentadiene,CAA112(b),77474,USCODE-2023-title42-sec7412
67-72-1,Hexachloroethane,CAA112(b),67721,USCODE-2023-title42-sec7412
822-06-0,"Hexamethylene-1,6-diisocyanate",CAA112(b),822060,USCODE-2023-title42-sec7412
680-31-9,Hexamethylphosphoramide,CAA112(b),680319,USCODE-2023-title42-sec7412
110-54-3,Hexane,CAA112(b),110543,USCODE-2023-title42-sec7412
302-01-2,Hydrazine,CAA112(b),302012,USCODE-2023-title42-sec7412
7647-01-0,Hydrochloric acid,CAA112(b),7647010,USCODE-2023-title42-sec7412
7664-39-3,Hydrogen fluoride (Hydrofluoric acid),CAA112(b),7664393,USCODE-2023-title42-sec7412
123-31-9,Hydroquinone,CAA112(b),123319,USCODE-2023-title42-sec7412
78-59-1,Isophorone,CAA112(b),78591,USCODE-2023-title42-sec7412
58-89-9,Lindane (all isomers),CAA112(b),58899,USCODE-2023-title42-sec7412
108-31-6,Maleic anhydride,CAA112(b),108316,USCODE-2023-title42-sec7412
67-56-1,Methanol,CAA112(b),67561,USCODE-2023-title42-sec7412
72-43-5,Methoxychlor,CAA112(b),72435,USCODE-2023-title42-sec7412
74-83-9,Methyl bromide (Bromomethane),CAA112(b),74839,USCODE-2023-title42-sec7412
74-87-3,Methyl chloride (Chloromethane),CAA112(b),74873,USCODE-2023-title42-sec7412
71-55-6,"Methyl chloroform (1,1,1-Trichloroethane)",CAA112(b),71556,USCODE-2023-title42-sec7412
78-93-3,Methyl ethyl ketone (2-Butanone),CAA112(b),78933,USCODE-2023-title42-sec7412
60-34-4,Methyl hydrazine,CAA112(b),60344,USCODE-2023-title42-sec7412
74-88-4,Methyl iodide (Iodomethane),CAA112(b),74884,USCODE-2023-title42-sec7412
108-10-1,Methyl isobutyl ketone (Hexone),CAA112(b),108101,USCODE-2023-title42-sec7412
624-83-9,Methyl isocyanate,CAA112(b),624839,USCODE-2023-title42-sec7412
80-62-6,Methyl methacrylate,CAA112(b),80626,USCODE-2023-title42-sec7412
1634-04-4,Methyl tert butyl ether,CAA112(b),1634044,USCODE-2023-title42-sec7412
101-14-4,"4,4-Methylene bis(2-chloroaniline)",CAA112(b),101144,USCODE-2023-title42-sec7412
75-09-2,Methylene chloride (Dichloromethane),CAA112(b),75092,USCODE-2023-title42-sec7412
101-68-8,Methylene diphenyl diisocyanate (MDI),CAA112(b),101688,USCODE-2023-title42-sec7412
