cas,D,P,H,RER,smiles,source
589-98-0,15.96,4.13,8.9,,,doss_bootstrap
59020-90-5,18.95,7.26,7.66,,,doss_bootstrap
590-36-3,15.71,4.31,8.57,,,doss_bootstrap
590-50-1,15.3,4.81,3.23,,,doss_bootstrap
590-66-9,15.99,0.1,0.1,,,doss_bootstrap
591-23-1,17.2,6.4,12.5,,,doss_bootstrap
591-24-2,17.7,7.7,4.7,,,doss_bootstrap
591-68-4,15.99,3.5,4.63,,,doss_bootstrap
592-45-0,15.87,2.43,4.1,,,doss_bootstrap
592-51-8,16.3,11.2,5.0,,,doss_bootstrap
592-57-4,17.1,3.5,4.9,,,doss_bootstrap
592-88-1,17.01,3.56,4.56,,,doss_bootstrap
5932-79-6,16.0,3.64,8.11,,,doss_bootstrap
594-56-9,14.46,1.16,1.29,,,doss_bootstrap
594-70-7,15.15,9.97,3.19,,,doss_bootstrap
597-52-4,14.88,1.73,10.63,,,doss_bootstrap
5978-70-1,16.08,4.21,8.96,,,doss_bootstrap
598-23-2,15.06,3.18,2.68,,,doss_bootstrap
60-01-5,16.3,2.5,7.0,,,doss_bootstrap
600-36-2,15.47,3.89,7.81,,,doss_bootstrap
60-33-3,16.7,3.14,6.05,,,doss_bootstrap
607-97-6,16.33,6.72,5.73,,,doss_bootstrap
609-08-5,16.22,5.29,6.84,,,doss_bootstrap
611-13-2,17.4,6.9,9.7,,,doss_bootstrap
611-70-1,17.77,5.47,3.27,,,doss_bootstrap
6117-80-2,18.08,10.41,21.35,,,doss_bootstrap
6117-91-5,16.82,6.97,13.97,,,doss_bootstrap
61310-53-0,16.57,11.24,6.47,,,doss_bootstrap
616-25-1,16.01,5.62,11.76,,,doss_bootstrap
6163-64-0,15.85,2.5,2.44,,,doss_bootstrap
616-42-2,17.58,9.91,5.57,,,doss_bootstrap
616-44-4,18.38,3.46,5.98,,,doss_bootstrap
6169-06-8,16.08,4.21,8.96,,,doss_bootstrap
61692-84-0,16.12,3.35,4.44,,,doss_bootstrap
617-35-6,16.7,9.1,7.9,,,doss_bootstrap
6175-49-1,16.15,4.09,2.86,,,doss_bootstrap
617-84-5,16.4,11.4,9.2,,,doss_bootstrap
61931-81-5,16.87,5.79,9.74,,,doss_bootstrap
6197-30-4,17.75,3.96,3.91,,,doss_bootstrap
620-02-0,17.96,12.51,7.22,,,doss_bootstrap
621-70-5,16.49,3.47,4.56,,,doss_bootstrap
621-76-1,15.54,4.39,3.52,,,doss_bootstrap
622-40-2,17.84,8.0,13.14,,,doss_bootstrap
622-45-7,16.95,3.92,5.38,,,doss_bootstrap
623-17-6,17.55,6.36,7.63,,,doss_bootstrap
623-37-0,15.8,4.77,9.88,,,doss_bootstrap
623-47-2,16.29,6.96,7.68,,,doss_bootstrap
623-51-8,17.1,8.1,9.3,,,doss_bootstrap
623-81-4,16.82,7.99,4.27,,,doss_bootstrap
623-91-6,16.71,5.79,7.39,,,doss_bootstrap
624-24-8,15.92,4.71,6.21,,,doss_bootstrap
624-41-9,15.75,3.83,5.21,,,doss_bootstrap
624-54-4,15.8,5.2,5.7,,,doss_bootstrap
624-89-5,17.1,4.8,2.5,,,doss_bootstrap
624-95-3,15.29,4.6,9.92,,,doss_bootstrap
625-23-0,15.83,3.98,8.4,,,doss_bootstrap
625-28-5,15.4,9.3,4.8,,,doss_bootstrap
625-80-9,16.07,2.46,2.2,,,doss_bootstrap
626-77-7,15.93,3.52,4.77,,,doss_bootstrap
626-82-4,16.02,3.31,4.47,,,doss_bootstrap
626-89-1,15.71,5.08,10.38,,,doss_bootstrap
626-93-7,15.97,4.8,10.57,,,doss_bootstrap
626-95-9,16.88,8.37,17.83,,,doss_bootstrap
627-05-4,16.01,10.85,4.55,,,doss_bootstrap
627-93-0,16.3,6.8,8.5,,,doss_bootstrap
628-05-7,16.04,9.87,4.25,,,doss_bootstrap
628-73-9,15.86,8.54,4.96,,,doss_bootstrap
628-92-2,16.79,2.18,3.44,,,doss_bootstrap
6290-17-1,16.7,5.73,5.75,,,doss_bootstrap
6290-37-5,17.15,3.11,4.55,,,doss_bootstrap
6290-49-9,16.2,7.25,8.06,,,doss_bootstrap
629-19-6,16.21,4.53,3.38,,,doss_bootstrap
629-30-1,16.71,7.79,15.88,,,doss_bootstrap
629-40-3,16.57,13.16,5.75,,,doss_bootstrap
6294-31-1,16.55,2.19,2.33,,,doss_bootstrap
629-45-8,16.42,4.12,2.61,,,doss_bootstrap
629-58-3,16.02,2.53,3.11,,,doss_bootstrap
629-65-2,16.47,2.47,2.22,,,doss_bootstrap
629-82-3,15.83,2.07,1.98,,,doss_bootstrap
630-18-2,14.82,8.94,4.21,,,doss_bootstrap
630-19-3,14.96,6.74,4.47,,,doss_bootstrap
632-16-6,18.01,3.03,5.28,,,doss_bootstrap
6342-56-9,16.27,8.53,5.93,,,doss_bootstrap
63721-05-1,15.6,3.29,4.31,,,doss_bootstrap
638-02-8,18.01,3.03,5.28,,,doss_bootstrap
638-04-0,16.0,0.1,0.1,,,doss_bootstrap
638-11-9,15.58,3.93,4.77,,,doss_bootstrap
638-49-3,15.87,5.67,6.61,,,doss_bootstrap
6425-39-4,17.99,6.38,7.57,,,doss_bootstrap
644-35-9,17.76,4.2,8.07,,,doss_bootstrap
6443-69-2,18.35,5.65,6.59,,,doss_bootstrap
6443-92-1,15.79,1.85,2.84,,,doss_bootstrap
645-49-8,18.89,1.89,3.7,,,doss_bootstrap
656-53-1,17.95,6.47,7.59,,,doss_bootstrap
66-25-1,15.8,8.4,5.3,,,doss_bootstrap
66576-71-4,15.48,3.16,3.99,,,doss_bootstrap
66793-96-2,15.42,2.29,8.91,,,doss_bootstrap
6728-26-3,16.5,7.01,5.32,,,doss_bootstrap
67-56-1,16.0,11.0,19.6,271.3,CO,hspip_cli
67-64-1,16.1,9.6,5.7,815.6,CC(C)=O,hspip_cli
6765-39-5,15.9,1.32,1.65,,,doss_bootstrap
67-68-5,18.4,16.4,10.2,,,doss_bootstrap
67715-80-4,16.88,4.04,4.09,,,doss_bootstrap
67952-65-2,19.23,9.04,6.39,,,doss_bootstrap
6795-87-5,14.84,3.57,3.65,,,doss_bootstrap
68039-44-1,16.46,2.06,2.6,,,doss_bootstrap
685-91-6,16.4,11.3,7.5,,,doss_bootstrap
6863-58-7,15.2,3.5,3.3,,,doss_bootstrap
6914-71-2,17.54,6.58,8.11,,,doss_bootstrap
6928-85-4,17.93,5.56,9.89,,,doss_bootstrap
693-54-9,16.12,4.42,3.09,,,doss_bootstrap
693-65-2,15.6,3.1,3.0,,,doss_bootstrap
693-95-8,18.56,6.86,7.55,,,doss_bootstrap
694-35-9,16.36,2.49,3.26,,,doss_bootstrap
695-06-7,16.55,9.85,5.88,,,doss_bootstrap
696-59-3,16.8,7.2,8.2,,,doss_bootstrap
696-71-9,17.18,4.51,9.76,,,doss_bootstrap
698-10-2,16.53,8.58,11.27,,,doss_bootstrap
701-97-3,17.28,4.71,9.54,,,doss_bootstrap
705-86-2,16.37,10.2,4.31,,,doss_bootstrap
706-14-9,16.42,10.0,4.51,,,doss_bootstrap
706-31-0,17.55,3.22,4.98,,,doss_bootstrap
7154-75-8,15.16,2.8,2.57,,,doss_bootstrap
7331-52-4,17.16,15.34,15.0,,,doss_bootstrap
7379-12-6,15.63,5.76,3.19,,,doss_bootstrap
7399-50-0,17.22,4.24,3.63,,,doss_bootstrap
7433-56-9,16.02,1.31,1.86,,,doss_bootstrap
7443-52-9,16.75,4.08,9.48,,,doss_bootstrap
7452-79-1,15.59,3.82,4.92,,,doss_bootstrap
7491-02-3,15.85,3.16,3.62,,,doss_bootstrap
7493-74-5,17.77,4.97,6.23,,,doss_bootstrap
7534-94-3,16.63,2.29,2.4,,,doss_bootstrap
759-36-4,16.02,4.38,5.38,,,doss_bootstrap
760-32-7,14.08,1.56,1.28,,,doss_bootstrap
763-29-1,14.98,2.0,2.17,,,doss_bootstrap
764-01-2,17.36,9.37,15.6,,,doss_bootstrap
765-10-6,15.92,1.8,1.81,,,doss_bootstrap
765-13-9,15.95,1.75,1.89,,,doss_bootstrap
76649-25-7,17.0,4.61,9.15,,,doss_bootstrap
768-56-9,17.45,2.26,3.32,,,doss_bootstrap
768-66-1,15.93,2.67,2.59,,,doss_bootstrap
7688-21-3,15.59,1.98,3.2,,,doss_bootstrap
7695-91-2,16.75,1.38,2.01,,,doss_bootstrap
770-35-4,17.4,5.3,11.5,,,doss_bootstrap
7731-28-4,16.93,4.99,10.07,,,doss_bootstrap
7731-29-5,16.93,4.99,10.07,,,doss_bootstrap
774-55-0,19.03,5.71,1.1,,,doss_bootstrap
7764-50-3,17.09,5.29,2.8,,,doss_bootstrap
77-74-7,15.95,3.9,8.78,,,doss_bootstrap
77-75-8,16.54,5.14,10.05,,,doss_bootstrap
7780-06-5,17.53,3.2,4.46,,,doss_bootstrap
7786-67-6,16.58,3.74,7.48,,,doss_bootstrap
7787-20-4,17.42,5.24,2.06,,,doss_bootstrap
77-93-0,16.5,4.9,12.0,,,doss_bootstrap
77-94-1,16.6,3.8,10.1,,,doss_bootstrap
78-07-9,13.79,3.06,2.35,,,doss_bootstrap
78-08-0,14.89,2.81,2.2,,,doss_bootstrap
78-09-1,15.44,5.11,3.7,,,doss_bootstrap
78-10-4,13.9,4.3,0.6,,,doss_bootstrap
78-27-3,17.86,5.67,9.15,,,doss_bootstrap
78-39-7,15.36,4.39,3.56,,,doss_bootstrap
78-51-3,15.95,8.4,5.66,,,doss_bootstrap
78-69-3,15.94,2.61,5.98,,,doss_bootstrap
8001-21-6,16.54,1.66,3.63,,,doss_bootstrap
8001-22-7,16.64,1.71,4.13,,,doss_bootstrap
8001-23-8,16.64,1.71,4.13,,,doss_bootstrap
8001-30-7,16.5,1.6,3.13,,,doss_bootstrap
8002-03-7,16.5,1.6,3.13,,,doss_bootstrap
8002-75-3,16.4,1.8,1.9,,,doss_bootstrap
80-55-7,16.37,6.61,11.17,,,doss_bootstrap
81-13-0,17.59,13.59,17.2,,,doss_bootstrap
817-95-8,15.87,6.13,6.55,,,doss_bootstrap
819-97-6,15.67,3.28,4.31,,,doss_bootstrap
821-09-0,16.21,6.51,12.11,,,doss_bootstrap
821-11-4,18.08,10.41,21.35,,,doss_bootstrap
821-55-6,16.09,5.13,3.5,,,doss_bootstrap
821-95-4,15.77,1.46,2.03,,,doss_bootstrap
823-76-7,17.04,5.1,3.81,,,doss_bootstrap
82461-14-1,17.59,3.14,3.08,,,doss_bootstrap
85-91-6,16.4,11.3,7.5,,,doss_bootstrap
871-83-0,15.39,0.1,0.1,,,doss_bootstrap
87-19-4,17.68,6.75,7.65,,,doss_bootstrap
872-55-9,17.98,3.19,5.47,,,doss_bootstrap
87-44-5,16.66,0.89,2.61,,,doss_bootstrap
87818-31-3,17.75,3.42,2.27,,,doss_bootstrap
88-09-5,16.0,5.57,11.19,,,doss_bootstrap
88917-22-0,16.3,4.9,8.0,,,doss_bootstrap
89-48-5,16.36,2.67,3.52,,,doss_bootstrap
89-81-6,17.17,4.64,3.34,,,doss_bootstrap
9004-96-0,16.28,3.73,7.58,,,doss_bootstrap
9005-07-6,16.22,1.99,2.65,,,doss_bootstrap
9005-64-5,16.28,5.66,10.23,,,doss_bootstrap
9005-65-6,16.28,5.66,10.23,,,doss_bootstrap
9005-67-8,16.3,6.46,6.7,,,doss_bootstrap
9006-65-9,12.8,1.49,1.42,,,doss_bootstrap
91-62-3,19.43,4.85,5.26,,,doss_bootstrap
91-63-4,19.43,4.85,5.26,,,doss_bootstrap
917-92-0,14.62,2.27,2.05,,,doss_bootstrap
919-31-3,13.94,6.58,3.67,,,doss_bootstrap
924-50-5,16.5,4.84,6.38,,,doss_bootstrap
928-91-6,16.7,5.96,11.24,,,doss_bootstrap
928-95-0,16.59,5.3,10.98,,,doss_bootstrap
928-96-1,16.58,5.67,11.12,,,doss_bootstrap
928-97-2,16.58,5.67,11.12,,,doss_bootstrap
930-27-8,17.4,5.23,5.6,,,doss_bootstrap
931-40-8,17.9,25.5,17.4,,,doss_bootstrap
934-80-5,17.6,2.7,2.9,,,doss_bootstrap
93-54-9,18.01,4.63,10.13,,,doss_bootstrap
93-92-5,17.59,3.56,5.24,,,doss_bootstrap
94-60-0,17.15,5.06,6.7,,,doss_bootstrap
96-04-8,16.71,8.87,5.41,,,doss_bootstrap
97-95-0,15.8,4.3,13.5,,,doss_bootstrap
97-96-1,15.63,6.74,4.58,,,doss_bootstrap
98-02-2,19.5,9.4,8.0,,,doss_bootstrap
98-03-3,19.46,14.43,9.36,,,doss_bootstrap
98-85-1,18.47,5.02,11.29,,,doss_bootstrap
995-32-4,17.33,11.58,8.9,,,doss_bootstrap
99-87-6,17.4,2.27,2.44,,,doss_bootstrap
999-21-3,16.91,4.5,6.41,,,doss_bootstrap
