cas,D,P,H,RER,smiles,source
1120-34-9,16.14,1.98,2.6,,,doss_bootstrap
112-06-1,15.8,2.9,5.5,,,doss_bootstrap
112-15-2,16.2,5.1,9.2,,,doss_bootstrap
1122-54-9,19.17,10.12,6.26,,,doss_bootstrap
1122-62-9,19.17,10.12,6.26,,,doss_bootstrap
112-42-5,16.08,3.94,9.88,,,doss_bootstrap
112-44-7,16.09,5.02,3.52,,,doss_bootstrap
1126-00-7,19.55,6.52,5.0,,,doss_bootstrap
112-62-9,16.2,3.8,4.5,,,doss_bootstrap
112-63-0,16.5,2.44,3.47,,,doss_bootstrap
112-73-2,15.8,4.7,4.4,,,doss_bootstrap
115-80-0,15.35,4.26,3.26,,,doss_bootstrap
116-09-6,17.4,12.82,16.47,,,doss_bootstrap
116-11-0,14.8,4.2,5.6,,,doss_bootstrap
118-60-5,17.15,5.47,5.78,,,doss_bootstrap
118-61-6,18.2,8.1,9.3,,,doss_bootstrap
118-93-4,19.16,8.89,10.14,,,doss_bootstrap
1191-08-8,17.73,6.89,6.98,,,doss_bootstrap
1191-41-9,16.56,2.51,3.31,,,doss_bootstrap
119-36-8,18.1,8.0,13.9,,,doss_bootstrap
1193-79-9,17.88,8.26,5.44,,,doss_bootstrap
1196-58-3,16.89,1.57,2.31,,,doss_bootstrap
1198-37-4,19.0,4.3,4.61,,,doss_bootstrap
1201-38-3,18.95,8.71,3.79,,,doss_bootstrap
120-43-4,18.45,12.25,6.9,,,doss_bootstrap
120-45-6,17.32,3.36,4.79,,,doss_bootstrap
120-92-3,17.9,11.9,5.2,,,doss_bootstrap
120962-03-0,16.64,1.71,4.13,,,doss_bootstrap
122-00-9,18.81,6.88,4.39,,,doss_bootstrap
122-31-6,15.55,5.37,3.95,,,doss_bootstrap
122-32-7,16.0,3.8,3.2,,,doss_bootstrap
122-51-0,15.36,5.67,4.37,,,doss_bootstrap
122-62-3,16.2,5.0,9.0,,,doss_bootstrap
122-78-1,18.47,7.17,5.55,,,doss_bootstrap
122-79-2,19.8,5.2,6.4,,,doss_bootstrap
122-97-4,18.17,5.13,10.52,,,doss_bootstrap
123-15-9,15.76,6.16,4.57,,,doss_bootstrap
123-19-3,15.8,7.6,4.9,,,doss_bootstrap
123-32-0,18.06,8.11,5.47,,,doss_bootstrap
123-34-2,16.99,8.3,15.8,,,doss_bootstrap
123-66-0,15.5,3.2,5.9,,,doss_bootstrap
123-68-2,16.09,3.64,5.01,,,doss_bootstrap
123-95-5,14.5,3.7,3.5,,,doss_bootstrap
124-13-0,16.02,6.3,4.4,,,doss_bootstrap
124-19-6,16.05,5.48,3.88,,,doss_bootstrap
125-12-2,16.96,2.76,2.98,,,doss_bootstrap
